,Entity,Code,Year,Waste per person(kg/day),Mismanaged waste per person(kg/day),GDP per capita in PPP,Total Population,Continent,Total waste(kgs/year),Total waste mismanaged(kgs/year)
117,Nigeria,NGA,2010,0.1,0.08,5150.158818,158503008,Africa,-2147483648,-2147483648
118,Niue,NIU,2010,0.25,0.01,,2000,Oceania,182500,7300
119,North Korea,PRK,2010,0.05,0.05,,24549000,Asia,448019250,448019250
120,Northern Mariana Islands,MNP,2010,0.25,0.01,,54000,Oceania,4927500,197100
121,Norway,NOR,2010,0.28,0.01,62350.41071,4886000,Europe,499349200,17833900
122,Oman,OMN,2010,0.08,0,45335.85252,3041000,Asia,88797200,0
123,Pakistan,PAK,2010,0.1,0.09,4283.607312,179424992,Asia,-2147483648,-2147483648
124,Palau,PLW,2010,0.14,0.08,11846.57393,18000,Oceania,919800,525600
125,Palestine,PSE,2010,0.06,0,4172.745689,4056000,Asia,88826400,0
126,Panama,PAN,2010,0.14,0.03,15628.59224,3643000,North America,186157300,39890850
127,Papua New Guinea,PNG,2010,0.1,0.09,3191.58041,7311000,Oceania,266851500,240166350
128,Peru,PER,2010,0.14,0.04,9956.556637,29028000,South America,1483330800,423808800
129,Philippines,PHL,2010,0.08,0.06,5596.837288,93967000,Asia,-2147483648,2057877300
130,Poland,POL,2010,0.1,0.01,21770.64444,38330000,Europe,1399045000,139904500
131,Portugal,PRT,2010,0.26,0,27238.46067,10596000,Europe,1005560400,0
132,Puerto Rico,PRI,2010,0.25,0.01,33924.05401,3580000,North America,326675000,13067000
133,Qatar,QAT,2010,0.16,0,125140.8383,1856000,Asia,108390400,0
134,Reunion,REU,2010,0.14,0,,831000,Africa,42464100,0
135,Romania,ROU,2010,0.04,0.01,17553.2833,20472000,Europe,298891200,74722800
136,Russia,RUS,2010,0.11,0.02,23107.78522,143479008,Europe,-2147483648,1047396758
137,Saint Helena,SHN,2010,0.14,0.04,,5000,Africa,255500,73000
138,Saint Kitts and Nevis,KNA,2010,0.65,0.05,21412.20145,49000,North America,11625250,894250
139,Saint Lucia,LCA,2010,0.52,0.11,12123.83514,174000,North America,33025200,6986100
140,Saint Pierre and Miquelon,SPM,2010,0.25,0,,6000,North America,547500,0
141,Saint Vincent and the Grenadines,VCT,2010,0.22,0.05,9915.577619,108000,North America,8672400,1971000
142,Samoa,WSM,2010,0.1,0.08,5399.893096,186000,Oceania,6789000,5431200
143,Sao Tome and Principe,STP,2010,0.1,0.08,2641.513948,180000,Africa,6570000,5256000
144,Saudi Arabia,SAU,2010,0.16,0.02,45421.22848,27421000,Asia,1601386400,200173300
145,Senegal,SEN,2010,0.1,0.09,2183.995051,12678000,Africa,462747000,416472300
146,Seychelles,SYC,2010,0.36,0.14,20365.11893,91000,Africa,11957400,4650100
147,Sierra Leone,SLE,2010,0.04,0.04,1199.98985,6416000,Africa,93673600,93673600
148,Singapore,SGP,2010,0.19,0,72115.8395,5131000,Asia,355834850,0
149,Sint Maarten (Dutch part),SXM,2010,0.25,0,,34000,North America,3102500,0
150,Slovenia,SVN,2010,0.14,0,28678.37263,2043000,Europe,104397300,0
151,Solomon Islands,SLB,2010,0.1,0.09,1871.369352,528000,Oceania,19272000,17344800
152,Somalia,SOM,2010,0.05,0.05,,12044000,Africa,219803000,219803000
153,South Africa,ZAF,2010,0.24,0.13,11887.80503,51217000,Africa,-2147483648,-2147483648
154,South Korea,KOR,2010,0.11,0,30352.10482,49546000,Asia,1989271900,0
155,Spain,ESP,2010,0.28,0.01,32507.09397,46931000,Europe,-2147483648,171298150
156,Sri Lanka,LKA,2010,0.36,0.3,8529.571442,20262000,Asia,-2147483648,-2147483648
157,Sudan,SDN,2010,0.1,0.08,3366.096261,34545000,Africa,1260892500,1008714000
158,Suriname,SUR,2010,0.16,0.03,14211.87752,529000,South America,30893600,5792550
159,Sweden,SWE,2010,0.05,0,42942.5625,9390000,Europe,171367500,0
160,Syria,SYR,2010,0.18,0.12,,21363000,Asia,1403549100,935699400
161,Taiwan,TWN,2010,0.25,0.01,,23188000,Asia,2115905000,84636200
162,Tanzania,TZA,2010,0.02,0.02,2090.583225,44347000,Africa,323733100,323733100
163,Thailand,THA,2010,0.14,0.11,13486.56241,67195000,Asia,-2147483648,-2147483648
164,Togo,TGO,2010,0.06,0.05,1208.28121,6422000,Africa,140641800,117201500
165,Tokelau,TKL,2010,0.1,0.09,,1000,Oceania,36500,32850
166,Tonga,TON,2010,0.22,0.18,4984.19363,104000,Oceania,8351200,6832800
167,Trinidad and Tobago,TTO,2010,0.29,0.19,31260.90705,1328000,North America,140568800,92096800
168,Tunisia,TUN,2010,0.14,0.09,10436.3656,10635000,Africa,543448500,349359750
169,Turkey,TUR,2010,0.21,0.04,17959.25911,72327000,Asia,-2147483648,1055974200
170,Turks and Caicos Islands,TCA,2010,0.25,0.01,,33000,North America,3011250,120450
171,Tuvalu,TUV,2010,0.14,0.11,2986.449856,11000,Oceania,562100,441650
172,Ukraine,UKR,2010,0.1,0.05,7824.498452,45792000,Europe,1671408000,835704000
173,United Arab Emirates,ARE,2010,0.2,0,57232.61808,8550000,Asia,624150000,0
174,United Kingdom,GBR,2010,0.22,0,36366.98318,63460000,Europe,-2147483648,0
175,United States,USA,2010,0.34,0.01,49374.17889,309011008,North America,-2147483648,1127890179
176,Uruguay,URY,2010,0.25,0.02,17082.40466,3359000,South America,306508750,24520700
177,Vanuatu,VUT,2010,0.3,0.24,2948.032937,236000,Oceania,25842000,20673600
178,Venezuela,VEN,2010,0.25,0.02,16544.97206,28440000,South America,-2147483648,207612000
179,Vietnam,VNM,2010,0.1,0.09,4408.168612,87968000,Asia,-2147483648,-2147483648
180,Yemen,YEM,2010,0.1,0.08,4478.743599,23155000,Asia,845157500,676126000
