Country,Currency,Economic Indicators,Attribute,Value
Italy,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2016,49.436
Italy,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2017,49.951
Italy,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2018,50.853
Italy,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2019,..
Italy,USD (2020 prices and exchange rates),Other cross-cutting technologies/research,2020 Estimated,..
Italy,USD (2020 prices and exchange rates),Unallocated,2013,0
Italy,USD (2020 prices and exchange rates),Unallocated,2014,0
Italy,USD (2020 prices and exchange rates),Unallocated,2015,0
Italy,USD (2020 prices and exchange rates),Unallocated,2016,0
Italy,USD (2020 prices and exchange rates),Unallocated,2017,0
Italy,USD (2020 prices and exchange rates),Unallocated,2018,0
Italy,USD (2020 prices and exchange rates),Unallocated,2019,..
Italy,USD (2020 prices and exchange rates),Unallocated,2020 Estimated,..
Italy,USD (2020 prices and exchange rates),Total Budget ,2013,373.026
Italy,USD (2020 prices and exchange rates),Total Budget ,2014,446.178
Italy,USD (2020 prices and exchange rates),Total Budget ,2015,1248.797
Italy,USD (2020 prices and exchange rates),Total Budget ,2016,1280.806
Italy,USD (2020 prices and exchange rates),Total Budget ,2017,1294.132
Italy,USD (2020 prices and exchange rates),Total Budget ,2018,1317.524
Italy,USD (2020 prices and exchange rates),Total Budget ,2019,..
Italy,USD (2020 prices and exchange rates),Total Budget ,2020 Estimated,..
Italy,USD (2020 prices and PPP),Energy efficiency ,2013,272.84
Italy,USD (2020 prices and PPP),Energy efficiency ,2014,344.967
Italy,USD (2020 prices and PPP),Energy efficiency ,2015,1181.676
Italy,USD (2020 prices and PPP),Energy efficiency ,2016,1248.936
Italy,USD (2020 prices and PPP),Energy efficiency ,2017,1261.931
Italy,USD (2020 prices and PPP),Energy efficiency ,2018,1284.74
Italy,USD (2020 prices and PPP),Energy efficiency ,2019,..
Italy,USD (2020 prices and PPP),Energy efficiency ,2020 Estimated,..
Italy,USD (2020 prices and PPP),Fossil fuels,2013,45.146
Italy,USD (2020 prices and PPP),Fossil fuels,2014,30.97
Italy,USD (2020 prices and PPP),Fossil fuels,2015,218.007
Italy,USD (2020 prices and PPP),Fossil fuels,2016,160.647
Italy,USD (2020 prices and PPP),Fossil fuels,2017,162.318
Italy,USD (2020 prices and PPP),Fossil fuels,2018,165.253
Italy,USD (2020 prices and PPP),Fossil fuels,2019,..
Italy,USD (2020 prices and PPP),Fossil fuels,2020 Estimated,..
Italy,USD (2020 prices and PPP),Renewables,2013,63.771
Italy,USD (2020 prices and PPP),Renewables,2014,108.7
Italy,USD (2020 prices and PPP),Renewables,2015,128.925
Italy,USD (2020 prices and PPP),Renewables,2016,94.211
Italy,USD (2020 prices and PPP),Renewables,2017,95.191
Italy,USD (2020 prices and PPP),Renewables,2018,96.912
Italy,USD (2020 prices and PPP),Renewables,2019,..
Italy,USD (2020 prices and PPP),Renewables,2020 Estimated,..
Italy,USD (2020 prices and PPP),Nuclear ,2013,4.312
Italy,USD (2020 prices and PPP),Nuclear ,2014,1.937
Italy,USD (2020 prices and PPP),Nuclear ,2015,3.934
Italy,USD (2020 prices and PPP),Nuclear ,2016,3.653
Italy,USD (2020 prices and PPP),Nuclear ,2017,3.691
Italy,USD (2020 prices and PPP),Nuclear ,2018,3.758
Italy,USD (2020 prices and PPP),Nuclear ,2019,..
Italy,USD (2020 prices and PPP),Nuclear ,2020 Estimated,..
Italy,USD (2020 prices and PPP),Hydrogen and fuel cells ,2013,14.221
Italy,USD (2020 prices and PPP),Hydrogen and fuel cells ,2014,12.317
Italy,USD (2020 prices and PPP),Hydrogen and fuel cells ,2015,10.822
Italy,USD (2020 prices and PPP),Hydrogen and fuel cells ,2016,16.694
Italy,USD (2020 prices and PPP),Hydrogen and fuel cells ,2017,16.867
Italy,USD (2020 prices and PPP),Hydrogen and fuel cells ,2018,17.172
Italy,USD (2020 prices and PPP),Hydrogen and fuel cells ,2019,..
Italy,USD (2020 prices and PPP),Hydrogen and fuel cells ,2020 Estimated,..
Italy,USD (2020 prices and PPP),Other power and storage technologies,2013,40.124
Italy,USD (2020 prices and PPP),Other power and storage technologies,2014,42.359
Italy,USD (2020 prices and PPP),Other power and storage technologies,2015,66.541
Italy,USD (2020 prices and PPP),Other power and storage technologies,2016,91.918
Italy,USD (2020 prices and PPP),Other power and storage technologies,2017,92.873
Italy,USD (2020 prices and PPP),Other power and storage technologies,2018,94.553
Italy,USD (2020 prices and PPP),Other power and storage technologies,2019,..
Italy,USD (2020 prices and PPP),Other power and storage technologies,2020 Estimated,..
Italy,USD (2020 prices and PPP),Other cross-cutting technologies/research ,2013,49.145
Italy,USD (2020 prices and PPP),Other cross-cutting technologies/research ,2014,44.317
Italy,USD (2020 prices and PPP),Other cross-cutting technologies/research ,2015,28.924
Italy,USD (2020 prices and PPP),Other cross-cutting technologies/research ,2016,64.88
Italy,USD (2020 prices and PPP),Other cross-cutting technologies/research ,2017,65.556
Italy,USD (2020 prices and PPP),Other cross-cutting technologies/research ,2018,66.74
Italy,USD (2020 prices and PPP),Other cross-cutting technologies/research ,2019,..
Italy,USD (2020 prices and PPP),Other cross-cutting technologies/research ,2020 Estimated,..
Italy,USD (2020 prices and PPP),Unallocated ,2013,0
Italy,USD (2020 prices and PPP),Unallocated ,2014,0
Italy,USD (2020 prices and PPP),Unallocated ,2015,0
Italy,USD (2020 prices and PPP),Unallocated ,2016,0
Italy,USD (2020 prices and PPP),Unallocated ,2017,0
Italy,USD (2020 prices and PPP),Unallocated ,2018,0
Italy,USD (2020 prices and PPP),Unallocated ,2019,..
Italy,USD (2020 prices and PPP),Unallocated ,2020 Estimated,..
Italy,USD (2020 prices and PPP),Total Budget,2013,489.562
Italy,USD (2020 prices and PPP),Total Budget,2014,585.567
Italy,USD (2020 prices and PPP),Total Budget,2015,1638.93
Italy,USD (2020 prices and PPP),Total Budget,2016,1680.939
Italy,USD (2020 prices and PPP),Total Budget,2017,1698.428
Italy,USD (2020 prices and PPP),Total Budget,2018,1729.127
Italy,USD (2020 prices and PPP),Total Budget,2019,..
Italy,USD (2020 prices and PPP),Total Budget,2020 Estimated,..
Italy,Euro (2020 prices and exchange rates),Energy efficiency ,2013,182.53
Italy,Euro (2020 prices and exchange rates),Energy efficiency ,2014,230.783
Italy,Euro (2020 prices and exchange rates),Energy efficiency ,2015,790.541
Italy,Euro (2020 prices and exchange rates),Energy efficiency ,2016,835.538
Italy,Euro (2020 prices and exchange rates),Energy efficiency ,2017,844.232
Italy,Euro (2020 prices and exchange rates),Energy efficiency ,2018,859.491
Italy,Euro (2020 prices and exchange rates),Energy efficiency ,2019,..
Italy,Euro (2020 prices and exchange rates),Energy efficiency ,2020 Estimated,..
Italy,Euro (2020 prices and exchange rates),Fossil fuels,2013,30.203
Italy,Euro (2020 prices and exchange rates),Fossil fuels,2014,20.719
Italy,Euro (2020 prices and exchange rates),Fossil fuels,2015,145.847
Italy,Euro (2020 prices and exchange rates),Fossil fuels,2016,107.473
Italy,Euro (2020 prices and exchange rates),Fossil fuels,2017,108.591
Italy,Euro (2020 prices and exchange rates),Fossil fuels,2018,110.554
Italy,Euro (2020 prices and exchange rates),Fossil fuels,2019,..
Italy,Euro (2020 prices and exchange rates),Fossil fuels,2020 Estimated,..
Italy,Euro (2020 prices and exchange rates),Renewables,2013,42.663
Italy,Euro (2020 prices and exchange rates),Renewables,2014,72.72
Italy,Euro (2020 prices and exchange rates),Renewables,2015,86.251
Italy,Euro (2020 prices and exchange rates),Renewables,2016,63.027
Italy,Euro (2020 prices and exchange rates),Renewables,2017,63.683
Italy,Euro (2020 prices and exchange rates),Renewables,2018,64.834
Italy,Euro (2020 prices and exchange rates),Renewables,2019,..
Italy,Euro (2020 prices and exchange rates),Renewables,2020 Estimated,..
Italy,Euro (2020 prices and exchange rates),Nuclear ,2013,2.885
Italy,Euro (2020 prices and exchange rates),Nuclear ,2014,1.296
Italy,Euro (2020 prices and exchange rates),Nuclear ,2015,2.632
Italy,Euro (2020 prices and exchange rates),Nuclear ,2016,2.444
Italy,Euro (2020 prices and exchange rates),Nuclear ,2017,2.469
Italy,Euro (2020 prices and exchange rates),Nuclear ,2018,2.514
Italy,Euro (2020 prices and exchange rates),Nuclear ,2019,..
Italy,Euro (2020 prices and exchange rates),Nuclear ,2020 Estimated,..
Italy,Euro (2020 prices and exchange rates),Hydrogen and fuel cells ,2013,9.514
Italy,Euro (2020 prices and exchange rates),Hydrogen and fuel cells ,2014,8.24
Italy,Euro (2020 prices and exchange rates),Hydrogen and fuel cells ,2015,7.24
Italy,Euro (2020 prices and exchange rates),Hydrogen and fuel cells ,2016,11.168
Italy,Euro (2020 prices and exchange rates),Hydrogen and fuel cells ,2017,11.284
Italy,Euro (2020 prices and exchange rates),Hydrogen and fuel cells ,2018,11.488
Italy,Euro (2020 prices and exchange rates),Hydrogen and fuel cells ,2019,..
Italy,Euro (2020 prices and exchange rates),Hydrogen and fuel cells ,2020 Estimated,..
Italy,Euro (2020 prices and exchange rates),Other power and storage technologies,2013,26.843
Italy,Euro (2020 prices and exchange rates),Other power and storage technologies,2014,28.338
Italy,Euro (2020 prices and exchange rates),Other power and storage technologies,2015,44.516
Italy,Euro (2020 prices and exchange rates),Other power and storage technologies,2016,61.493
Italy,Euro (2020 prices and exchange rates),Other power and storage technologies,2017,62.132
Italy,Euro (2020 prices and exchange rates),Other power and storage technologies,2018,63.256
Italy,Euro (2020 prices and exchange rates),Other power and storage technologies,2019,..
Italy,Euro (2020 prices and exchange rates),Other power and storage technologies,2020 Estimated,..
Italy,Euro (2020 prices and exchange rates),Other cross-cutting technologies/research ,2013,32.878
Italy,Euro (2020 prices and exchange rates),Other cross-cutting technologies/research ,2014,29.648
Italy,Euro (2020 prices and exchange rates),Other cross-cutting technologies/research ,2015,19.35
Italy,Euro (2020 prices and exchange rates),Other cross-cutting technologies/research ,2016,43.405
Italy,Euro (2020 prices and exchange rates),Other cross-cutting technologies/research ,2017,43.857
Italy,Euro (2020 prices and exchange rates),Other cross-cutting technologies/research ,2018,44.649
Italy,Euro (2020 prices and exchange rates),Other cross-cutting technologies/research ,2019,..
Italy,Euro (2020 prices and exchange rates),Other cross-cutting technologies/research ,2020 Estimated,..
Italy,Euro (2020 prices and exchange rates),Unallocated ,2013,0
Italy,Euro (2020 prices and exchange rates),Unallocated ,2014,0
Italy,Euro (2020 prices and exchange rates),Unallocated ,2015,0
Italy,Euro (2020 prices and exchange rates),Unallocated ,2016,0
Italy,Euro (2020 prices and exchange rates),Unallocated ,2017,0
Italy,Euro (2020 prices and exchange rates),Unallocated ,2018,0
Italy,Euro (2020 prices and exchange rates),Unallocated ,2019,..
Italy,Euro (2020 prices and exchange rates),Unallocated ,2020 Estimated,..
Italy,Euro (2020 prices and exchange rates),Total Budget,2013,327.517
Italy,Euro (2020 prices and exchange rates),Total Budget,2014,391.744
Italy,Euro (2020 prices and exchange rates),Total Budget,2015,1096.444
Italy,Euro (2020 prices and exchange rates),Total Budget,2016,1124.548
Italy,Euro (2020 prices and exchange rates),Total Budget,2017,1136.248
Italy,Euro (2020 prices and exchange rates),Total Budget,2018,1156.786
Italy,Euro (2020 prices and exchange rates),Total Budget,2019,..
Italy,Euro (2020 prices and exchange rates),Total Budget,2020 Estimated,..
