T28,Patents,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
100,Bulgaria,2010,Grants of patents (number),251.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
100,Bulgaria,2016,Grants of patents (number),42.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
100,Bulgaria,2017,Grants of patents (number),77.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
100,Bulgaria,2018,Grants of patents (number),181.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
100,Bulgaria,2005,Patents in force (number),2203.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
100,Bulgaria,2010,Patents in force (number),6812.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
100,Bulgaria,2016,Patents in force (number),11511.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
100,Bulgaria,2017,Patents in force (number),12039.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
100,Bulgaria,2018,Patents in force (number),13393.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
108,Burundi,1995,Grants of patents (number),1.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
108,Burundi,2016,Grants of patents (number),6.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
108,Burundi,2017,Grants of patents (number),27.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
108,Burundi,2018,Grants of patents (number),28.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
132,Cabo Verde,2016,Resident patent filings (per million population),4.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
132,Cabo Verde,2017,Resident patent filings (per million population),4.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
132,Cabo Verde,2018,Resident patent filings (per million population),6.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
132,Cabo Verde,2018,Grants of patents (number),1.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
132,Cabo Verde,2018,Patents in force (number),1.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
116,Cambodia,2016,Grants of patents (number),19.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
116,Cambodia,2017,Grants of patents (number),23.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
116,Cambodia,2018,Grants of patents (number),56.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
120,Cameroon,2005,Resident patent filings (per million population),1.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
120,Cameroon,2016,Resident patent filings (per million population),2.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
120,Cameroon,2017,Resident patent filings (per million population),1.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
120,Cameroon,2018,Resident patent filings (per million population),2.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
124,Canada,1985,Resident patent filings (per million population),81.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
124,Canada,1995,Resident patent filings (per million population),83.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
124,Canada,2005,Resident patent filings (per million population),161.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
124,Canada,2010,Resident patent filings (per million population),134.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
124,Canada,2016,Resident patent filings (per million population),113.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
124,Canada,2017,Resident patent filings (per million population),111.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
124,Canada,2018,Resident patent filings (per million population),117.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
124,Canada,1985,Grants of patents (number),18697.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
124,Canada,1995,Grants of patents (number),9139.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
124,Canada,2005,Grants of patents (number),15516.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
124,Canada,2010,Grants of patents (number),19120.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
124,Canada,2016,Grants of patents (number),26424.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
124,Canada,2017,Grants of patents (number),24099.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
124,Canada,2018,Grants of patents (number),23499.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
124,Canada,2005,Patents in force (number),125110.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
124,Canada,2010,Patents in force (number),133355.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
124,Canada,2016,Patents in force (number),175236.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
124,Canada,2017,Patents in force (number),180727.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
124,Canada,2018,Patents in force (number),184559.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
140,Central African Republic,2018,Resident patent filings (per million population),1.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
148,Chad,2018,Resident patent filings (per million population),1.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
152,Chile,1985,Resident patent filings (per million population),10.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
152,Chile,1995,Resident patent filings (per million population),12.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
152,Chile,2005,Resident patent filings (per million population),22.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
152,Chile,2010,Resident patent filings (per million population),19.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
152,Chile,2016,Resident patent filings (per million population),21.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
152,Chile,2017,Resident patent filings (per million population),23.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
152,Chile,2018,Resident patent filings (per million population),22.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
152,Chile,1985,Grants of patents (number),448.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
152,Chile,1995,Grants of patents (number),133.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
152,Chile,2005,Grants of patents (number),311.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
152,Chile,2010,Grants of patents (number),1020.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
152,Chile,2016,Grants of patents (number),2077.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
152,Chile,2017,Grants of patents (number),1574.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
152,Chile,2018,Grants of patents (number),1599.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
152,Chile,2010,Patents in force (number),8121.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
152,Chile,2016,Patents in force (number),12512.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
152,Chile,2017,Patents in force (number),12389.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
152,Chile,2018,Patents in force (number),13795.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
156,China,1985,Resident patent filings (per million population),4.0000,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
156,China,1995,Resident patent filings (per million population),8.0000,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
156,China,2005,Resident patent filings (per million population),72.0000,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
156,China,2010,Resident patent filings (per million population),219.0000,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
156,China,2016,Resident patent filings (per million population),874.0000,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
156,China,2017,Resident patent filings (per million population),899.0000,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
156,China,2018,Resident patent filings (per million population),1001.0000,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
156,China,1985,Grants of patents (number),44.0000,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
156,China,1995,Grants of patents (number),3393.0000,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
156,China,2005,Grants of patents (number),53305.0000,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
156,China,2010,Grants of patents (number),135110.0000,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
156,China,2016,Grants of patents (number),404208.0000,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
156,China,2017,Grants of patents (number),420144.0000,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
156,China,2018,Grants of patents (number),432147.0000,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
156,China,2005,Patents in force (number),182396.0000,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
156,China,2010,Patents in force (number),564760.0000,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
156,China,2016,Patents in force (number),1772203.0000,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
156,China,2017,Patents in force (number),2085367.0000,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
156,China,2018,Patents in force (number),2366314.0000,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
344,"China, Hong Kong SAR",1985,Resident patent filings (per million population),3.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
344,"China, Hong Kong SAR",1995,Resident patent filings (per million population),4.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
344,"China, Hong Kong SAR",2005,Resident patent filings (per million population),23.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
344,"China, Hong Kong SAR",2010,Resident patent filings (per million population),19.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
344,"China, Hong Kong SAR",2016,Resident patent filings (per million population),32.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
344,"China, Hong Kong SAR",2017,Resident patent filings (per million population),44.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
344,"China, Hong Kong SAR",2018,Resident patent filings (per million population),42.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
344,"China, Hong Kong SAR",1985,Grants of patents (number),1030.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
344,"China, Hong Kong SAR",1995,Grants of patents (number),1960.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
344,"China, Hong Kong SAR",2005,Grants of patents (number),6518.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
344,"China, Hong Kong SAR",2010,Grants of patents (number),5353.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
344,"China, Hong Kong SAR",2016,Grants of patents (number),5698.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
344,"China, Hong Kong SAR",2017,Grants of patents (number),6671.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
344,"China, Hong Kong SAR",2018,Grants of patents (number),9651.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
344,"China, Hong Kong SAR",2010,Patents in force (number),33225.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
344,"China, Hong Kong SAR",2016,Patents in force (number),43359.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
344,"China, Hong Kong SAR",2017,Patents in force (number),45059.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
344,"China, Hong Kong SAR",2018,Patents in force (number),49922.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
446,"China, Macao SAR",2005,Resident patent filings (per million population),6.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
446,"China, Macao SAR",2010,Resident patent filings (per million population),7.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
446,"China, Macao SAR",2017,Resident patent filings (per million population),2.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
446,"China, Macao SAR",2018,Resident patent filings (per million population),2.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
446,"China, Macao SAR",1995,Grants of patents (number),2.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
446,"China, Macao SAR",2005,Grants of patents (number),5.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
446,"China, Macao SAR",2010,Grants of patents (number),156.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
446,"China, Macao SAR",2016,Grants of patents (number),57.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
446,"China, Macao SAR",2017,Grants of patents (number),21.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
446,"China, Macao SAR",2018,Grants of patents (number),27.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
446,"China, Macao SAR",2005,Patents in force (number),12.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
446,"China, Macao SAR",2010,Patents in force (number),377.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
446,"China, Macao SAR",2016,Patents in force (number),467.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
446,"China, Macao SAR",2017,Patents in force (number),416.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
446,"China, Macao SAR",2018,Patents in force (number),387.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
170,Colombia,1985,Resident patent filings (per million population),2.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
170,Colombia,1995,Resident patent filings (per million population),4.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
170,Colombia,2005,Resident patent filings (per million population),2.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
170,Colombia,2010,Resident patent filings (per million population),3.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
170,Colombia,2016,Resident patent filings (per million population),11.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
170,Colombia,2017,Resident patent filings (per million population),12.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
170,Colombia,2018,Resident patent filings (per million population),8.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
170,Colombia,1985,Grants of patents (number),169.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
170,Colombia,1995,Grants of patents (number),365.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
170,Colombia,2005,Grants of patents (number),256.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
170,Colombia,2010,Grants of patents (number),639.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
170,Colombia,2016,Grants of patents (number),917.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
170,Colombia,2017,Grants of patents (number),1164.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
170,Colombia,2018,Grants of patents (number),1271.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
170,Colombia,2016,Patents in force (number),6623.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
170,Colombia,2017,Patents in force (number),7024.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
170,Colombia,2018,Patents in force (number),7403.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
178,Congo,2005,Resident patent filings (per million population),1.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
178,Congo,1995,Grants of patents (number),15.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
188,Costa Rica,2010,Resident patent filings (per million population),2.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
188,Costa Rica,2016,Resident patent filings (per million population),2.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
188,Costa Rica,2017,Resident patent filings (per million population),4.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
188,Costa Rica,2018,Resident patent filings (per million population),1.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
188,Costa Rica,2010,Grants of patents (number),45.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
188,Costa Rica,2016,Grants of patents (number),67.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
188,Costa Rica,2017,Grants of patents (number),190.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
188,Costa Rica,2018,Grants of patents (number),168.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
188,Costa Rica,2010,Patents in force (number),239.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
188,Costa Rica,2016,Patents in force (number),678.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
188,Costa Rica,2017,Patents in force (number),834.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
188,Costa Rica,2018,Patents in force (number),925.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
384,Côte d’Ivoire,2016,Resident patent filings (per million population),1.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
384,Côte d’Ivoire,2017,Resident patent filings (per million population),1.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
384,Côte d’Ivoire,2018,Resident patent filings (per million population),1.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
191,Croatia,1995,Resident patent filings (per million population),57.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
191,Croatia,2005,Resident patent filings (per million population),84.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
191,Croatia,2010,Resident patent filings (per million population),64.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
191,Croatia,2016,Resident patent filings (per million population),45.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
191,Croatia,2017,Resident patent filings (per million population),38.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
191,Croatia,2018,Resident patent filings (per million population),33.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
191,Croatia,1995,Grants of patents (number),25.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
191,Croatia,2005,Grants of patents (number),140.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
191,Croatia,2010,Grants of patents (number),82.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
191,Croatia,2016,Grants of patents (number),35.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
191,Croatia,2017,Grants of patents (number),20.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
191,Croatia,2018,Grants of patents (number),21.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
191,Croatia,2005,Patents in force (number),1094.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
191,Croatia,2010,Patents in force (number),2134.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
191,Croatia,2016,Patents in force (number),6606.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
191,Croatia,2017,Patents in force (number),7845.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
191,Croatia,2018,Patents in force (number),8945.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
192,Cuba,1995,Resident patent filings (per million population),10.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
192,Cuba,2005,Resident patent filings (per million population),9.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
192,Cuba,2016,Resident patent filings (per million population),3.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
192,Cuba,2017,Resident patent filings (per million population),3.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
192,Cuba,2018,Resident patent filings (per million population),3.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
192,Cuba,1985,Grants of patents (number),18.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
192,Cuba,1995,Grants of patents (number),77.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
192,Cuba,2005,Grants of patents (number),64.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
192,Cuba,2016,Grants of patents (number),93.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
192,Cuba,2017,Grants of patents (number),74.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
192,Cuba,2018,Grants of patents (number),93.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
192,Cuba,2005,Patents in force (number),653.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
192,Cuba,2016,Patents in force (number),857.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
192,Cuba,2017,Patents in force (number),816.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
